X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,class
kind_3,22.066337854536048,4.062412885669181,360.8899460996756,3.7587301294158437,group_2,14,78.92653987047571,124.81142177974691,0.3397225600690565,-5.75024088112936e-06,150,1020,8.204531770089815,885.6360569518702,296.83107674645925,kind_3,102,20.683127799877294,-6.821440970865694,1
kind_1,20.377948047444303,4.060629031624352,357.09238721723455,3.934115821835026,group_1,17,80.3569964810996,124.76152993273024,-0.6735567765684515,-0.026052942090287558,110,1005,-1.4718391864534126,885.4049113944767,295.75759139905284,kind_3,104,-2.021618325913237,-4.8526820703538815,1
kind_3,23.948426734067144,6.23086057397595,352.20949645054924,3.7185190222846196,group_2,12,79.00028750538458,124.75587558097914,0.8747490000572677,0.00020959250425775524,120,1020,15.868114676119514,885.6481340266151,295.1338086198354,kind_3,104,12.498058295822048,12.128471483057304,1
kind_2,25.4881062620241,6.424107302224393,356.48088891803377,3.735974822768903,group_1,15,80.18574148719267,132.93549418827627,-0.6975795356456552,0.0004060231233721616,150,1025,2.632406213588618,885.5988278112566,296.0232585737028,kind_2,102,6.0464942773941885,-3.778606584264711,0
kind_4,19.165775062674644,5.054655993406324,354.5150174673345,3.8345241902010416,group_3,10,79.5722118108746,124.70854084688945,0.6171209334096338,0.13887091549818595,180,1030,-5.931726460457935,885.4212200081337,296.77201053222024,kind_2,100,23.19430626248049,-17.04934698567972,0
kind_4,17.300565113597532,4.213372443985582,352.67170628056795,3.8167698538018717,group_3,11,80.61904506585232,124.70827420136085,-0.3409915292987168,0.01682579737914999,130,1020,-11.871507916294593,885.6481922482318,297.4794408724892,kind_1,104,2.881997048137608,7.160921735845983,1
kind_2,17.808569542053693,4.101389675948854,362.5357516109751,3.797084346992542,group_2,15,79.81486653551016,126.15886384183706,-0.36398826111847654,-0.0030303903707059503,130,1005,5.98393223692376,885.394489976282,295.7629416519826,kind_3,103,8.678208652824008,-2.395134807517909,1
kind_3,17.732733469225835,4.0635842297772955,357.49280452057593,3.682167093583172,group_3,13,80.05641536391568,134.63734310645629,0.12467793054409752,0.003416099849443973,140,1015,4.045459655605552,885.3932233299961,297.1273530670919,kind_1,102,5.299759385204379,4.034851812000467,0
kind_3,17.279512998760787,4.060873510311746,364.28097601120817,3.6537002548749444,group_3,12,80.4373858078954,128.52351805409063,-0.3175887760092682,0.0138960137453095,160,1025,-6.441074905822479,885.3931939327749,299.28334749532553,kind_3,101,17.57572511310856,4.182344528266167,1
kind_4,21.716497220137786,5.311723515597724,361.7501358881249,3.622520462948117,group_3,11,80.27945405643905,133.86834102138118,0.6894895962814234,0.0010815820259058506,110,1020,15.501408981167518,885.6355720244263,295.69711818871804,kind_1,105,24.834530560294407,1.3553330485769408,0
kind_2,22.001590507327094,4.05717376304097,357.2776718815529,3.951369682072422,group_2,15,79.9251671450256,134.6122952992234,-0.5170919516639899,-0.0008995369543282993,140,1015,-10.901566570429836,885.3932142445003,296.48762685719106,kind_2,103,20.124230258067925,3.47394838966146,0
kind_1,17.1921558754225,4.306287941047077,355.2606972408843,3.9890853015565986,group_1,16,80.18977157902634,134.47311780361218,-0.09936086487586328,-0.006190799906442915,140,1005,-9.737189890545917,885.3932029630338,295.336148350545,kind_3,102,-1.6779313112329506,-9.497190657221427,0
kind_2,19.31368828653647,6.006150248837653,354.0365763291896,3.7894183803098325,group_2,12,78.66811475861249,124.70804402191655,2.7170321610794415,0.007530526450496911,160,1020,6.784334186006999,885.6482010800075,295.24350246628006,kind_1,101,5.698261553462457,3.85790954711571,0
kind_1,23.36049726241775,4.119974458766668,355.25916611152866,3.8269415279478785,group_1,17,78.80604056065518,134.63614445652672,-0.7004817768901053,-0.0009962798621913774,170,1020,3.4175828500912027,885.6302919663641,295.85135741104494,kind_2,100,7.1792922801472585,7.154612867258101,0
kind_3,20.056769104750924,6.417871068937305,356.77245288566587,3.737717948000619,group_2,12,79.50587195429729,124.71513367463862,-0.6688858189880824,0.007591822182582996,150,1020,1.063416192978115,885.3966849545352,297.207975786616,kind_3,102,11.108013102857036,5.349850440078507,1
kind_2,17.832992784072033,6.423745459711009,353.2683874271094,3.740583639989818,group_2,15,79.61740637683872,124.70831239411842,0.802683572066082,-0.0023018489989227483,140,1010,12.368881386791324,885.6428997621836,296.2809661620882,kind_1,102,18.94288060426931,11.578132104747128,1
kind_3,19.29135981717347,4.057486904936885,353.0175881019151,3.8770833164423593,group_2,13,80.53340695159156,126.16215487751435,0.6500583778845723,0.005022953735923715,150,1015,-3.831928689229533,885.6415924517818,296.1159441243351,kind_3,102,3.845045781598266,6.8741283988401625,0
kind_1,17.289788849808556,6.424113728997182,361.80995527610554,3.72289987080514,group_1,18,79.25993056256895,124.86903059137136,3.2138551535587294,-0.18285978516401,100,1000,22.364865558734305,885.6482010796291,295.67937522128085,kind_1,105,1.592012187022082,-7.48853564689507,1
kind_1,24.182303303280836,6.424004019522831,351.4456004649152,3.8497500092251182,group_1,16,80.33659735036018,134.62103455346082,-0.689429793079324,-0.023301981815131056,110,1005,-6.586292584259547,885.5643316373335,295.9541566703497,kind_3,105,-12.395631085016298,6.369937689580058,1
kind_2,25.349559655196323,4.060311906403634,358.376636667523,3.846907741337052,group_2,13,80.31340573295395,134.6374709578883,2.2956521862299857,0.0022761683654998212,160,1025,-15.653689692808449,885.3932836636243,296.3189250542246,kind_2,101,7.024928433961222,-1.6701776945734945,1
kind_4,17.971524592493672,4.611957060949048,351.92392933861464,3.5235847249027543,group_3,10,80.05301985142452,124.72524860669684,-0.6135860943209633,0.1538698933346283,180,1030,-5.144992406658086,885.6472279206288,298.9558935588966,kind_2,100,0.6077972953553226,15.910958051411312,1
kind_4,17.003888077970988,4.129966032166191,361.66284871185417,3.6630913587603406,group_3,10,79.62049438119334,126.83185230420467,0.30600813535160937,0.10920051141917723,180,1030,-7.31158741202143,885.3945550429397,295.9316379498116,kind_2,100,1.3624082778555278,12.652889301077982,1
kind_4,20.148379422783574,4.057169104463584,363.812000689157,3.98251957328816,group_3,10,80.51564594988265,125.0484128832165,-0.6752972073726125,0.011061133007145264,110,1020,-16.908085325353838,885.397304968606,296.389656991692,kind_1,105,13.67985843974903,13.274414383871454,0
kind_2,19.267593641801447,5.303768204164457,357.14826479133137,3.5832469745269537,group_2,15,80.29719239939836,125.58433024634074,-0.6922136137161828,-0.0034342857467623395,130,1015,14.403067566059294,885.6067519151738,296.8565817608085,kind_3,103,15.085937721730659,-9.207562592934654,0
